"","year","state_location","school_name","school_level","school_type","enrollment","charter","magnet","virtual"
"127",2015,"CA","Mosaica Online Academy of Los Angeles","Other","Regular","25","Yes","No","Yes"
"128",2015,"CA","Academy of Arts and Sciences: Los Angeles (K-8)","Primary","Regular","95","Yes","No","Yes"
"129",2015,"CA","iLEAD Hybrid","Other","Regular","1861","Yes","No","Yes"
"130",2015,"CA","Community Collaborative Charter","Other","Regular","1427","Yes","No","Yes"
"131",2015,"CA","California Pacific Charter Schools - San Diego","Other","Regular","866","Yes","No","Yes"
"132",2015,"CA","Central California Connections Academy","Other","Regular","403","Yes","No","Yes"
"133",2015,"CA","Desert Sands Charter","High","Regular","1931","Yes","No","Yes"
"134",2015,"CA","Los Angeles County Online High","High","Regular","249","Yes","No","Yes"
"135",2015,"CA","California Virtual Academy @ Kings","Other","Regular","484","Yes","No","Yes"
"136",2015,"CA","Capistrano Connections Academy","Other","Regular","2812","Yes","No","Yes"
"137",2015,"CA","California Preparatory Academy","High","Other","176","No","No","Yes"
"138",2015,"CA","Clovis Online Charter","High","Regular","299","Yes","No","Yes"
"139",2015,"CA","Academy of Arts and Sciences: Sonoma","Other","Regular","300","Yes","No","Yes"
"140",2015,"CA","Mosaica Online Academy of Southern California","Other","Regular","29","Yes","No","Yes"
"141",2015,"CA","Inspire Charter School - South","Other","Regular","826","Yes","No","Yes"
"142",2015,"CA","Oasis High (Alternative)","High","Other","107","No","No","Yes"
"143",2015,"CA","Hornbrook Elementary","Primary","Regular","55","No","No","Yes"
"144",2015,"CA","California Virtual Academy @ Jamestown","Other","Regular","114","Yes","No","Yes"
"145",2015,"CA","California Virtual Academy @ San Mateo","Other","Regular","801","Yes","No","Yes"
"146",2015,"CA","Rivercrest Preparatory","High","Regular","113","No","Yes","Yes"
"147",2015,"CA","Dunlap Leadership Academy","High","Regular","79","Yes","No","Yes"
"148",2015,"CA","Mid Valley Alternative Charter","Primary","Regular","24","Yes","No","Yes"
"149",2015,"CA","Lancaster Alternative and Virtual Academies","Middle","Other","102","No","No","Yes"
"150",2015,"CA","California Virtual Academy @ Sonoma","Other","Regular","638","Yes","No","Yes"
"151",2015,"CA","California Virtual Academy @ Maricopa","Primary","Regular","1193","Yes","No","Yes"
"152",2015,"CA","California Virtual Academy High @ Maricopa","High","Regular","595","Yes","No","Yes"
"153",2015,"CA","California Virtual Academy @ Sutter","Other","Regular","830","Yes","No","Yes"
"154",2015,"CA","California Prep Sutter K-7","Primary","Regular","80","Yes","No","Yes"
"155",2015,"CA","California Prep Sutter 8-12","High","Regular","48","Yes","No","Yes"
"156",2015,"CA","California Connections Academy @ North Bay","Other","Regular","109","Yes","No","Yes"
"157",2015,"CA","San Diego Virtual","Other","Regular","391","Yes","No","Yes"
"158",2015,"CA","Academy of Arts and Sciences: Del Mar Elementary (K-5)","Primary","Regular","85","Yes","No","Yes"
"159",2015,"CA","Academy of Arts and Sciences: Del Mar Middle & High (6-12)","Other","Regular","214","Yes","No","Yes"
"160",2015,"CA","Educational Training Center","High","Other","10","No","No","Yes"
"161",2015,"CA","California Virtual Academy @ San Joaquin","Other","Regular","1428","Yes","No","Yes"
"162",2015,"CA","Delta Home Charter","Other","Regular","111","Yes","No","Yes"
"163",2015,"CA","Valley View Charter Prep","Other","Regular","360","Yes","No","Yes"
"164",2015,"CA","Delta Keys Charter","Other","Regular","159","Yes","No","Yes"
"165",2015,"CA","Delta Charter Online","Other","Regular","334","Yes","No","Yes"
"166",2015,"CA","Delta Launch Charter","Other","Regular","Missing/not reported","Yes","Missing/not reported","Yes"
"167",2015,"CA","California Connections Academy @ Ripon","Other","Regular","879","Yes","No","Yes"
"168",2015,"CA","Mokelumne High (Continuation)","High","Other","19","No","No","Yes"
"169",2015,"CA","River Delta High/Elementary (Alternative)","Other","Other","11","No","No","Yes"
"170",2015,"CA","River Delta Community Day","High","Other","6","No","No","Yes"
"171",2015,"CA","Riverside Virtual","Other","Regular","87","No","No","Yes"
"172",2015,"CA","iQ Academy California-Los Angeles","Other","Regular","554","Yes","No","Yes"
"173",2015,"CA","California Virtual Academy @ Los Angeles","Other","Regular","3147","Yes","No","Yes"
"174",2015,"CA","Insight @ Los Angeles","High","Regular","259","Yes","No","Yes"
"175",2015,"CA","Green Valley Independent Study","Other","Other","34","No","No","Yes"
"176",2015,"CO","COLORADO PREP ACADEMY","Other","Regular","1364","No","No","Yes"
"177",2015,"CO","ROCKY MOUNTAIN DIGITAL ACADEMY","High","Regular","390","No","No","Yes"
"178",2015,"CO","MOUNTAIN VIEW VIRTUAL","High","Regular","215","No","No","Yes"
"179",2015,"CO","PIKES PEAK ONLINE SCHOOL","High","Regular","426","No","No","Yes"
"180",2015,"CO","ACADEMY ONLINE","Other","Regular","51","No","No","Yes"
"181",2015,"CO","TCA COLLEGE PATHWAYS","High","Regular","505","Yes","No","Yes"
"182",2015,"CO","ACADEMY CALVERT K-8 ONLINE SCHOOL","Primary","Regular","139","No","Missing/not reported","Yes"
"183",2015,"CO","APS ONLINE SCHOOL","High","Regular","143","No","No","Yes"
"184",2015,"CO","BOULDER UNIVERSAL","Other","Regular","89","No","No","Yes"
"185",2015,"CO","BRANSON SCHOOL ONLINE","Other","Regular","407","No","No","Yes"
"186",2015,"CO","BOLT ACADEMY","High","Regular","64","No","No","Yes"
"187",2015,"CO","COLORADO VIRTUAL ACADEMY (COVA)","High","Regular","487","Yes","No","Yes"
"188",2015,"CO","GREAT PLAINS ACADEMY","Other","Regular","95","No","No","Yes"
"189",2015,"CO","ELEVATE ACADEMY","Other","Regular","1233","Yes","No","Yes"
"190",2015,"CO","COLORADO DIGITAL ACADEMY - MIDDLE","Middle","Regular","219","Yes","No","Yes"
"191",2015,"CO","COLORADO DIGITAL ACADEMY - ELEMENTARY","Primary","Regular","496","Yes","No","Yes"
"192",2015,"CO","CANON ONLINE ACADEMY","Other","Regular","43","No","No","Yes"
"193",2015,"CO","CENTER VIRTUAL ACADEMY","High","Regular","9","No","No","Yes"
"194",2015,"CO","ACHIEVE ONLINE","Other","Regular","237","No","No","Yes"
"195",2015,"CO","DENVER ONLINE HIGH SCHOOL","High","Regular","204","No","No","Yes"
"196",2015,"CO","EDCSD: COLORADO CYBER SCHOOL","Other","Regular","211","No","No","Yes"
"197",2015,"CO","HOPE ONLINE LEARNING ACADEMY HIGH SCHOOL","High","Regular","458","Yes","No","Yes"
"198",2015,"CO","HOPE ONLINE LEARNING ACADEMY ELEMENTARY","Primary","Regular","1150","Yes","No","Yes"
"199",2015,"CO","HOPE ONLINE LEARNING ACADEMY MIDDLE SCHOOL","Middle","Regular","530","Yes","No","Yes"
"200",2015,"CO","WORLD ACADEMY","Other","Regular","45","No","No","Yes"
"201",2015,"CO","EDISON ACADEMY","Other","Regular","1","No","Yes","Yes"
"202",2015,"CO","GOAL ACADEMY","High","Other","4070","Yes","No","Yes"
"203",2015,"CO","SPRINGS STUDIO FOR ACADEMIC EXCELLENCE","Other","Regular","521","No","No","Yes"
"204",2015,"CO","PSD GLOBAL ACADEMY","Other","Regular","178","No","No","Yes"
"205",2015,"CO","GRAND RIVER ACADEMY","Other","Regular","218","No","No","Yes"
"206",2015,"CO","ENGAGE ONLINE ACADEMY","Other","Regular","99","No","No","Yes"
"207",2015,"CO","HOLYOKE ALTERNATIVE SCHOOL","High","Other","7","No","No","Yes"
"208",2015,"CO","JEFFCOS 21ST CENTURY VIRTUAL ACADEMY","High","Regular","313","No","No","Yes"
"209",2015,"CO","JEFFCOS 21ST CENTURY VIRTUAL ACADEMY K-6","Primary","Regular","34","No","No","Yes"
"210",2015,"CO","INSIGHT SCHOOL OF COLORADO AT JULESBURG","Other","Other","381","No","No","Yes"
"211",2015,"CO","ST. VRAIN GLOBAL ONLINE ACADEMY","High","Regular","105","No","No","Yes"
"212",2015,"CO","COLORADO CONNECTIONS ACADEMY","Other","Regular","2420","No","No","Yes"
"213",2015,"CO","MONTE VISTA ON-LINE ACADEMY","Other","Other","97","No","No","Yes"
"214",2015,"CO","PEAK VIRTUAL ACADEMY","Other","Regular","229","No","No","Yes"
"215",2015,"CO","70 ONLINE","Other","Regular","163","No","No","Yes"
"216",2015,"CO","V.I.L.A.S. ONLINE SCHOOL","Primary","Regular","20","No","No","Yes"
"217",2015,"CO","SOUTHWEST COLORADO E-SCHOOL","Other","Regular","29","No","No","Yes"
"218",2015,"DC","Friendship PCS Online","Primary","Regular","132","Yes","No","Yes"
"219",2015,"FL","FLVS PART TIME 6-8","Middle","Regular","0","No","No","Yes"
"220",2015,"FL","FLVS PART TIME 9-12","High","Regular","0","No","No","Yes"
"221",2015,"FL","FLVS FULL TIME K-8","Primary","Regular","5172","No","No","Yes"
"222",2015,"FL","FLVS FULL-TIME 9-12","High","Regular","2826","No","No","Yes"
"223",2015,"FL","ALACHUA VIRTUAL INSTRUCTION PROGRAM","Other","Regular","0","No","No","Yes"
"224",2015,"FL","ALACHUA ESCHOOL (VIRTUAL FRANCHISE)","Other","Regular","74","No","No","Yes"
"225",2015,"FL","ALACHUA VIRTUAL INSTRUCTION PROGRAM (DISTRICT PROVIDED)","Primary","Regular","33","No","No","Yes"
"226",2015,"FL","BAKER COUNTY VIRTUAL FRANCHISE","Primary","Regular","0","No","No","Yes"
"227",2015,"FL","BAKER VIRTUAL INSTRUCTION PROGRAM (DISTRICT PROVIDED)","High","Regular","0","No","No","Yes"
"228",2015,"FL","BAY VIRTUAL INSTRUCTION PROGRAM","Other","Regular","34","No","No","Yes"
"229",2015,"FL","BAY VIRTUAL FRANCHISE","Other","Regular","59","No","No","Yes"
"230",2015,"FL","BAY VIRTUAL INSTRUCTION (COURSE OFFERINGS)","Other","Regular","26","No","No","Yes"
"231",2015,"FL","BRADFORD VIRTUAL FRANCHISE","Other","Regular","3","No","No","Yes"
"232",2015,"FL","BRADFORD VIRTUAL INSTRUCTION PROGRAM (DISTRICT PROVIDED)","Primary","Regular","2","No","No","Yes"
"233",2015,"FL","BREVARD VIRTUAL FRANCHISE","Other","Regular","121","No","No","Yes"
"234",2015,"FL","BREVARD VIRTUAL INSTRUCTION PROGRAM","Primary","Regular","0","No","No","Yes"
"235",2015,"FL","BREVARD VIRTUAL INSTRUCTION (COURSE OFFERINGS)","Other","Regular","0","No","No","Yes"
"236",2015,"FL","BREVARD VIRTUAL ESCHOOL","Primary","Regular","0","No","No","Yes"
"237",2015,"FL","BROWARD VIRTUAL FRANCHISE","Other","Regular","252","No","No","Yes"
"238",2015,"FL","BROWARD VIRTUAL INSTRUCTION PROGRAM","Primary","Regular","28","No","No","Yes"
"239",2015,"FL","BROWARD VIRTUAL INSTRUCTION PROGRAM (DISTRICT PROVIDED)","Primary","Regular","0","No","No","Yes"
"240",2015,"FL","FLORIDA VIRTUAL ACADEMY AT BROWARD COUNTY","Other","Regular","204","Yes","No","Yes"
"241",2015,"FL","CALHOUN VIRTUAL INSTRUCTION PROGRAM","Other","Regular","5","No","No","Yes"
"242",2015,"FL","CALHOUN VIRTUAL FRANCHISE","Other","Regular","0","No","No","Yes"
"243",2015,"FL","CALHOUN VIRTUAL INSTRUCTION (COURSE OFFERINGS)","Other","Regular","0","No","No","Yes"
"244",2015,"FL","CALHOUN VIRTUAL  INSTRUCTION PROGRAM (DISTRICT PROVIDED)","Other","Regular","30","No","No","Yes"
"245",2015,"FL","CHARLOTTE VIRTUAL INSTRUCTION PROGRAM","Other","Regular","0","No","No","Yes"
"246",2015,"FL","CHARLOTTE VIRTUAL FRANCHISE","Other","Regular","89","No","No","Yes"
"247",2015,"FL","CITRUS VIRTUAL INSTRUCTION (COURSE OFFERINGS)","High","Regular","0","No","No","Yes"
"248",2015,"FL","CLAY VIRTUAL INSTRUCTION PROGRAM","Other","Regular","9","No","No","Yes"
"249",2015,"FL","CLAY VIRTUAL FRANCHISE","Other","Regular","240","No","No","Yes"
"250",2015,"FL","CLAY VIRTUAL ACADEMY","Other","Regular","0","No","No","Yes"
"251",2015,"FL","FLORIDA VIRTUAL ACADEMY AT CLAY","Other","Regular","21","Yes","No","Yes"
"252",2015,"FL","COLLIER VIRTUAL INSTRUCTION PROGRAM","Other","Regular","49","No","No","Yes"
"253",2015,"FL","COLLIER VIRTUAL INSTRUCTION COURSE OFFERINGS","High","Regular","0","No","No","Yes"
"254",2015,"FL","COLUMBIA VIRTUAL INSTRUCTION PROGRAM","Other","Regular","16","No","No","Yes"
"255",2015,"FL","COLUMBIA VIRTUAL FRANCHISE","Other","Regular","1","No","No","Yes"
"256",2015,"FL","COLUMBIA VIRTUAL INSTRUCTION PROGRAM (DISTRICT PROVIDED)","Other","Regular","1","No","No","Yes"
"257",2015,"FL","MIAMI-DADE VIRTUAL HIGH SCHOOL FRANCHISE","Other","Regular","0","No","No","Yes"
"258",2015,"FL","MIAMI-DADE ONLINE ACADEMY- VIRTUAL INSTRUCTION PROGRAM","Other","Regular","306","No","Yes","Yes"
"259",2015,"FL","MATER VIRTUAL ACADEMY CHARTER MIDDLE/HIGH SCHOOL","Other","Regular","43","Yes","No","Yes"
"260",2015,"FL","INTERNATIONAL STUDIES VIRTUAL","Other","Regular","5","Yes","No","Yes"
"261",2015,"FL","SOMERSET VIRTUAL ACADEMY","Other","Regular","23","Yes","No","Yes"
"262",2015,"FL","DESOTO VIRTUAL INSTRUCTION PROGRAM","Other","Regular","0","No","No","Yes"
"263",2015,"FL","DIXIE VIRTUAL FRANCHISE","High","Regular","7","No","No","Yes"
"264",2015,"FL","DIXIE VIRTUAL INSTRUCTION PROGRAM","Other","Regular","1","No","No","Yes"
"265",2015,"FL","DUVAL VIRTUAL INSTRUCTION PROGRAM","Other","Regular","0","No","No","Yes"
"266",2015,"FL","DUVAL VIRTUAL ACADEMY FRANCHISE","Other","Regular","25","No","No","Yes"
"267",2015,"FL","DUVAL VIRTUAL INSTRUCTION ACADEMY","Other","Regular","277","No","No","Yes"
"268",2015,"FL","DUVAL VIRTUAL INSTRUCTION (COURSE OFFERINGS)","Other","Regular","0","No","No","Yes"
"269",2015,"FL","FLORIDA VIRTUAL ACADEMY AT DUVAL COUNTY","Other","Regular","228","Yes","No","Yes"
"270",2015,"FL","ESCAMBIA VIRTUAL INSTRUCTION PROGRAM","Primary","Regular","53","No","No","Yes"
"271",2015,"FL","ESCAMBIA VIRTUAL ACADEMY FRANCHISE","Other","Regular","186","No","No","Yes"
"272",2015,"FL","ESCAMBIA VIRTUAL INSTRUCTION (COURSE OFFERINGS)","High","Regular","0","No","No","Yes"
"273",2015,"FL","ESCAMBIA VIRTUAL INSTRUCTIONAL PROGRAM (DISTRICT PROVIDED)","Other","Regular","1","No","No","Yes"
"274",2015,"FL","FLAGLER VIRTUAL INSTRUCTION PROGRAM","Primary","Regular","13","No","No","Yes"
"275",2015,"FL","IFLAGLER-VIRTUAL FRANCHISE","High","Regular","27","No","No","Yes"
"276",2015,"FL","FLAGLER VIRTUAL INSTRUCTION(COURSE OFFERINGS)","High","Regular","0","No","No","Yes"
"277",2015,"FL","FRANKLIN VIRTUAL INSTRUCTION PROGRAM","Other","Regular","0","No","No","Yes"
"278",2015,"FL","GADSDEN VIRTUAL INSTRUCTION PROGRAM","Other","Regular","5","No","No","Yes"
"279",2015,"FL","GADSDEN VIRTUAL FRANCHISE","Other","Regular","0","No","No","Yes"
"280",2015,"FL","GILCHRIST VIRTUAL INSTRUCTION PROGRAM","Other","Regular","0","No","No","Yes"
"281",2015,"FL","GILCHRIST VIRTUAL FRANCHISE","Other","Regular","1","No","No","Yes"
"282",2015,"FL","GILCHRIST VIRTUAL INSTRUCTION PROGRAM (DISTRICT PROVIDED)","Primary","Regular","0","No","No","Yes"
"283",2015,"FL","GLADES VIRTUAL INSTRUCTION PROGRAM","Other","Regular","1","No","No","Yes"
"284",2015,"FL","GLADES VIRTUAL FRANCHISE","High","Regular","2","No","No","Yes"
"285",2015,"FL","GULF VIRTUAL FRANCHISE","High","Regular","0","No","No","Yes"
"286",2015,"FL","HAMILTON VIRTUAL INSTRUCTION PROGRAM","Other","Regular","6","No","No","Yes"
"287",2015,"FL","HAMILTON VIRTUAL FRANCHISE","Other","Regular","3","No","No","Yes"
"288",2015,"FL","HAMILTON VIRTUAL INSTRUCTION PROGRAM (DISTRICT PROVIDED)","Primary","Regular","0","No","No","Yes"
"289",2015,"FL","HARDEE VIRTUAL FRANCHISE","Other","Regular","10","No","No","Yes"
"290",2015,"FL","HARDEE VIRTUAL INSTRUCTION PROGRAM (DISTRICT PROVIDED)","Other","Regular","3","No","No","Yes"
"291",2015,"FL","HENDRY VIRTUAL INSTRUCTION PROGRAM","Other","Regular","1","No","No","Yes"
"292",2015,"FL","MYDISTRICT VIRTUAL SCHOOL","Other","Regular","2","No","No","Yes"
"293",2015,"FL","HERNANDO VIRTUAL INSTRUCTION PROGRAM","Other","Regular","0","No","No","Yes"
"294",2015,"FL","HERNANDO ESCHOOL VIRTUAL FRANCHISE","Other","Regular","4","No","No","Yes"
